autor,estilo
Justin Wellington,"pacific islands pop, melanesian pop, png pop   ☷   ⓘ"
Fujii Kaze,japanese teen pop   ☷   ⓘ
 Kid Ink,"pop rap, rap, trap, southern hip hop, dance pop, hip hop   ☷   ⓘ"
Arctic Monkeys,"sheffield indie, garage rock, permanent wave, modern rock, rock   ☷   ⓘ"
Balming Tiger,k-rap   ☷   ⓘ
 Elams,"rap marseille, pop urbaine, francoton, rap francais, french hip hop   ☷   ⓘ"
Zoe Wees,german pop   ☷   ⓘ
 Michelle Williams,hollywood   ☷   ⓘ
 Camilo,"reggaeton colombiano, colombian pop   ☷   ⓘ"
 Sean Ono Lennon,beatlesque   ☷   ⓘ
 Yasiin Bey,"Related artists in: soul flow, underground hip hop, alternative hip hop, escape room, experimental hip hop   ☷   ⓘ"
 Georgia Ku,uk pop   ☷   ⓘ
 KronoMuzik,"Related artists in: rap calme, french hip hop, belgian hip hop, rap inde   ☷   ⓘ"
Burak Yeter,electro house   ☷   ⓘ
A Boogie Wit da Hoodie,"melodic rap, rap, trap   ☷   ⓘ"
 Jessie Reyez,"canadian contemporary r&b, canadian pop, pop, r&b   ☷   ⓘ"
 Masta Killa,"hardcore hip hop, east coast hip hop   ☷   ⓘ"
Fat Les,"Related artists in: football, british comedy, comic, fan chant   ☷   ⓘ"
Zac Brown Band,"contemporary country, country road, country, modern country rock   ☷   ⓘ"
 Lute,"north carolina hip hop, underground hip hop   ☷   ⓘ"
 Cherish,"girl group, hip pop, urban contemporary, r&b, atl hip hop, southern hip hop, dance pop   ☷   ⓘ"
Marian Hill,electropop   ☷   ⓘ
MERO,german hip hop   ☷   ⓘ
 Willow Sage Hart,show tunes   ☷   ⓘ
Boney M.,europop   ☷   ⓘ
 Zoe Nash,la pop   ☷   ⓘ
 Nuka,"Related artists in: cumbia ecuatoriana, ecuadorian indie, latintronica, shamanic   ☷   ⓘ"
 Mc Doguinha,"Related artists in: funk carioca, funk ostentacao, funk mtg, funk paulista, funk bh   ☷   ⓘ"
 Polo G,"chicago rap, rap   ☷   ⓘ"
 OIK,"Related artists in: brazilian hip hop, trap brasileiro, funk carioca, trap carioca, pop rap brasileiro   ☷   ⓘ"
 Christian Chávez,mexican pop   ☷   ⓘ
Snakehips,"tropical house, edm, pop, electropop, pop dance   ☷   ⓘ"
 Sofía Reyes,"mexican pop, latin pop, dance pop   ☷   ⓘ"
Busta Rhymes,"hip hop, east coast hip hop, hardcore hip hop, pop rap, rap, hip pop   ☷   ⓘ"
 Sheck Wes,"vapor trap, trap, rap, underground hip hop, viral rap   ☷   ⓘ"
iann dior,"melodic rap, pop rap, pop   ☷   ⓘ"
 Romy Dya,dutch pop   ☷   ⓘ
 Swae Lee,"melodic rap, trap   ☷   ⓘ"
Diego & Victor Hugo,"arrocha, sertanejo universitario, sertanejo pop   ☷   ⓘ"
 Oh Wonder,electropop   ☷   ⓘ
Matt Terry,talent show   ☷   ⓘ
Sage The Gemini,"pop rap, hyphy, viral rap, dance pop, southern hip hop, rap   ☷   ⓘ"
Lil Dicky,"comedy rap, pop rap, rap   ☷   ⓘ"
Avicii,"edm, pop dance, pop, pop rap, dance pop   ☷   ⓘ"
 Lunay,"urbano latino, trap latino, reggaeton, reggaeton flow, latin hip hop, latin pop   ☷   ⓘ"
 Rod Wave,florida rap   ☷   ⓘ
 DaBaby,"north carolina hip hop, rap, trap   ☷   ⓘ"
 Trueno,"argentine hip hop, trap argentino, bases de freestyle   ☷   ⓘ"
 Lauren Alaina,"contemporary country, country, country dawn, country road, country pop   ☷   ⓘ"
Zach Bryan,oklahoma country   ☷   ⓘ
 Ados,turkish hip hop   ☷   ⓘ
 KAROL G,"reggaeton colombiano, reggaeton, urbano latino   ☷   ⓘ"
Poo Bear,pop r&b   ☷   ⓘ
 JP Cooper,"uk pop, neo mellow, tropical house, pop, dance pop   ☷   ⓘ"
Keith Urban,"contemporary country, country road, country, australian country, australian pop   ☷   ⓘ"
 KXNG Crooked,cali rap   ☷   ⓘ
 5019,"Sorry, that one doesn't seem to be on any of these maps yet."
 ROBI,urbano latino   ☷   ⓘ
 Louis Theroux,"Sorry, that one doesn't seem to be on any of these maps yet."
Jovem Dionisio,indie curitibano   ☷   ⓘ
 Steve Aoki,"edm, electro house, pop dance, dance pop, tropical house, pop rap   ☷   ⓘ"
 Sam Tompkins,"Related artists in: uk pop, uk contemporary r&b, alt z, gen z singer-songwriter, irish pop   ☷   ⓘ"
Joel Adams,"pop soul, australian pop   ☷   ⓘ"
 Jay 305,west coast trap   ☷   ⓘ
 Benjamin Ingrosso,swedish pop   ☷   ⓘ
 Zayion McCall,"Related artists in: hip hop, rap, pop rap, southern hip hop, trap, atl hip hop, detroit hip hop, east coast hip hop, gangster rap, hardcore hip hop   ☷   ⓘ"
 Bruno Mars,"pop, dance pop   ☷   ⓘ"
 Juliander,swedish pop   ☷   ⓘ
 Interplanetary Criminal,"breaks, experimental house   ☷   ⓘ"
Bebe Rexha,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
 Kim Jong Wan of NELL,"korean ost, korean pop   ☷   ⓘ"
 J Spooks,"Sorry, that one doesn't seem to be on any of these maps yet."
Enrique Iglesias,"mexican pop, latin pop   ☷   ⓘ"
 Fivio Foreign,"brooklyn drill, new york drill, rap, trap   ☷   ⓘ"
Jess Glynne,"uk pop, pop, dance pop, tropical house, post-teen pop, pop dance   ☷   ⓘ"
IU,k-pop   ☷   ⓘ
DaBaby,"north carolina hip hop, rap, trap   ☷   ⓘ"
 13 Organisé,pop urbaine   ☷   ⓘ
RIN,"german cloud rap, german hip hop   ☷   ⓘ"
Victor Cibrian,"nueva musica mexicana, corrido, corridos tumbados   ☷   ⓘ"
 Khalid,"pop, pop r&b   ☷   ⓘ"
Britney Spears,"dance pop, pop, post-teen pop   ☷   ⓘ"
 FIFA Sound,"Related artists in: dance pop, electro house, pop, edm, latin pop, pop dance, tropical house   ☷   ⓘ"
Dean Martin,"adult standards, lounge, easy listening   ☷   ⓘ"
 187 Strassenbande,"hamburg hip hop, german hip hop   ☷   ⓘ"
 Liz Gillies,"Related artists in: adult standards, lounge, vocal jazz, contemporary vocal jazz, easy listening, swing   ☷   ⓘ"
 BTS,"k-pop boy group, k-pop   ☷   ⓘ"
 DrefGold,"trap italiana, italian hip hop   ☷   ⓘ"
ALMA,"dance pop, electropop   ☷   ⓘ"
Paloma Faith,"british soul, dance pop   ☷   ⓘ"
Bill Withers,"soul, funk, quiet storm   ☷   ⓘ"
 Harm Franklin,alberta hip hop   ☷   ⓘ
 Avicii,"edm, pop dance, pop, pop rap, dance pop   ☷   ⓘ"
 Ali Sethi,pakistani pop   ☷   ⓘ
Kalazh44,"german hip hop, german drill, german underground rap   ☷   ⓘ"
Childish Gambino,"atl hip hop, rap, hip hop, pop   ☷   ⓘ"
 Sia,"pop, australian dance, australian pop, dance pop   ☷   ⓘ"
 A$AP Rocky,"rap, east coast hip hop, hip hop   ☷   ⓘ"
Craig David,"british soul, dance pop, urban contemporary, r&b, pop rap   ☷   ⓘ"
 Khaled,"classic arab pop, rai   ☷   ⓘ"
Mambo Kingz,reggaeton flow   ☷   ⓘ
 Donna Summer,"hi-nrg, disco, new wave pop, dance pop   ☷   ⓘ"
BANNERS,"pop rock, indie poptimism, pop   ☷   ⓘ"
Alvaro Diaz,"trap boricua, urbano latino, reggaeton   ☷   ⓘ"
Summer Cem,german hip hop   ☷   ⓘ
 Maxo Kream,"underground hip hop, melodic rap, rap, trap, vapor trap, houston rap, southern hip hop, hip hop   ☷   ⓘ"
Gaullin,"lithuanian electronic, lithuanian edm, pop dance, tropical house, edm   ☷   ⓘ"
 John Mayer,"neo mellow, singer-songwriter   ☷   ⓘ"
 Freshlyground,"south african pop dance, south african pop, afropop, afro soul   ☷   ⓘ"
 Jaden,"rap, pop   ☷   ⓘ"
Young Stoner Life,"rap, trap, southern hip hop, hip hop   ☷   ⓘ"
Bella Poarch,modern alternative pop   ☷   ⓘ
 Jack Harlow,"kentucky hip hop, deep underground hip hop, rap, pop   ☷   ⓘ"
 MC Pupio,"Sorry, that one doesn't seem to be on any of these maps yet."
Quevedo,"rap canario, urbano latino   ☷   ⓘ"
 Mabel Matiz,turkish pop   ☷   ⓘ
benny blanco,"pop, electropop, pop rap, dance pop, edm   ☷   ⓘ"
 Blueface,"cali rap, trap   ☷   ⓘ"
Sabrina Carpenter,"pop, post-teen pop, dance pop, alt z   ☷   ⓘ"
Francesca Michielin,"italian pop, italian pop rock, italian adult pop, italian indie pop   ☷   ⓘ"
Mel & Kim,"Related artists in: classic danish pop, danish pop, dansktop   ☷   ⓘ"
Kenny Rogers,"nashville sound, classic country pop, mellow gold, soft rock, country, adult standards   ☷   ⓘ"
 Hook N Sling,australian dance   ☷   ⓘ
Capo Plaza,"trap italiana, italian hip hop   ☷   ⓘ"
salem ilese,modern indie pop   ☷   ⓘ
SCH,"rap marseille, pop urbaine, french hip hop   ☷   ⓘ"
TWICE,"k-pop girl group, k-pop   ☷   ⓘ"
Trevor Daniel,"melodic rap, pop rap, pop, viral rap   ☷   ⓘ"
Shakira,"colombian pop, latin pop, dance pop   ☷   ⓘ"
 CHVRCHES,"metropopolis, shimmer pop, electropop, neo-synthpop   ☷   ⓘ"
 Mc Lele JP,"funk paulista, funk ostentacao, funk carioca   ☷   ⓘ"
Rauw Alejandro,"puerto rican pop, trap latino, urbano latino   ☷   ⓘ"
Jerry Di,"pop venezolano, urbano latino, pop reggaeton, cubaton, reggaeton, dominican pop   ☷   ⓘ"
Russ Millions,"melodic drill, uk drill   ☷   ⓘ"
Leslie Grace,"bachata, show tunes, hollywood   ☷   ⓘ"
Wisin & Yandel,"reggaeton, latin hip hop, electro latino, urbano latino   ☷   ⓘ"
Kina,sad lo-fi   ☷   ⓘ
 Anitta,"funk pop, pop nacional, pagode baiano, pop   ☷   ⓘ"
Red Velvet,"k-pop girl group, k-pop   ☷   ⓘ"
 Young Scooter,"atl trap, trap, drill, southern hip hop, gangster rap, vapor trap, rap   ☷   ⓘ"
 Dj Win,"Related artists in: funk mtg, funk bh, funk carioca, funk ostentacao, funk mandelao   ☷   ⓘ"
 Quinn XCII,"indie pop rap, pop rap, electropop, pop   ☷   ⓘ"
 Gzuz,"hamburg hip hop, german hip hop, deep german hip hop   ☷   ⓘ"
 Coely,"belgian hip hop, vlaamse rap   ☷   ⓘ"
 Zedd,"pop, dance pop, edm, pop dance, complextro, german techno, tropical house, post-teen pop, pop rap, electropop   ☷   ⓘ"
 Descemer Bueno,"Related artists in: cubaton, trova, cuban alternative, salsa cubana, modern salsa, timba   ☷   ⓘ"
NCT DREAM,"k-pop boy group, k-pop   ☷   ⓘ"
 Tems,"afro r&b, alte, r&b, nigerian pop   ☷   ⓘ"
 Yo-Yo Ma,"chamber ensemble, classical cello, classical performance   ☷   ⓘ"
THE SCOTTS,"Related artists in: fake, nz pop   ☷   ⓘ"
 Ne-Yo,"dance pop, urban contemporary, pop   ☷   ⓘ"
Sigrid,norwegian pop   ☷   ⓘ
Lewis Capaldi,"uk pop, pop   ☷   ⓘ"
NEIKED,"scandipop, tropical house, pop, dance pop, pop dance, edm   ☷   ⓘ"
Vicente Fernández,"ranchera, mariachi   ☷   ⓘ"
 50 Cent,"queens hip hop, east coast hip hop, gangster rap, hip hop, rap, pop rap   ☷   ⓘ"
Joshua Bassett,"pop, post-teen pop   ☷   ⓘ"
 Sjava,"afro soul, south african pop   ☷   ⓘ"
Humberto & Ronaldo,"sertanejo universitario, sertanejo pop, sertanejo, forro   ☷   ⓘ"
Omar Montes,"flamenco urbano, urbano espanol   ☷   ⓘ"
Gwen Stefani,"dance pop, pop, post-teen pop   ☷   ⓘ"
 Sehabe,turkish hip hop   ☷   ⓘ
Charli XCX,"pop, electropop, metropopolis, dance pop, art pop, uk pop, candy pop, post-teen pop   ☷   ⓘ"
 AVA,trap italiana   ☷   ⓘ
 Enrique Iglesias,"mexican pop, latin pop   ☷   ⓘ"
 Wind & Fire,"Sorry, that one doesn't seem to be on any of these maps yet."
 Tiago PZK,"trap argentino, urbano latino   ☷   ⓘ"
Zac Efron,"hollywood, post-teen pop, show tunes, pop   ☷   ⓘ"
 Ozbi,turkish hip hop   ☷   ⓘ
EXO,"k-pop, k-pop boy group   ☷   ⓘ"
Offset,"rap, atl hip hop, trap, pop rap, southern hip hop, hip hop, viral rap   ☷   ⓘ"
Porky Slim,"Sorry, that one doesn't seem to be on any of these maps yet."
 SRNO,"dutch rap pop, dutch hip hop   ☷   ⓘ"
Fernando & Sorocaba,"sertanejo universitario, arrocha, sertanejo, sertanejo pop   ☷   ⓘ"
Freddie Dredd,"phonk, aesthetic rap   ☷   ⓘ"
 Tory Lanez,"canadian trap, rap, toronto rap, melodic rap, pop rap, canadian hip hop, trap, r&b, pop   ☷   ⓘ"
 MC Kekel,"funk carioca, funk consciente, funk paulista, funk ostentacao   ☷   ⓘ"
Şanışer,turkish hip hop   ☷   ⓘ
Surfaces,"bedroom soul, pop   ☷   ⓘ"
 King Pharaoh,"Sorry, that one doesn't seem to be on any of these maps yet."
Brenda Lee,adult standards   ☷   ⓘ
 Lil Uzi Vert,"melodic rap, philly rap, rap, trap   ☷   ⓘ"
 Keala Settle,"hollywood, show tunes, broadway   ☷   ⓘ"
 Nivea,"hip pop, r&b, urban contemporary, atl hip hop, contemporary r&b, pop r&b   ☷   ⓘ"
 Phoebe Ryan,"indie poptimism, electropop, alt z   ☷   ⓘ"
 Mc Danny,rave funk   ☷   ⓘ
XXXTENTACION,"miami hip hop, emo rap   ☷   ⓘ"
 Lil Xan,emo rap   ☷   ⓘ
Daft Punk,"filter house, electro   ☷   ⓘ"
Charlie Charles,"italian hip hop, italian pop   ☷   ⓘ"
 Erika Sirola,finnish pop   ☷   ⓘ
 Menor MC,"funk paulista, funk carioca, funk ostentacao   ☷   ⓘ"
Norah Jones,"jazz pop, contemporary vocal jazz   ☷   ⓘ"
Bring Me The Horizon,"uk metalcore, melodic metalcore, metalcore, rock   ☷   ⓘ"
Takeoff,"rap, atl hip hop, trap, southern hip hop   ☷   ⓘ"
Imagine Dragons,"modern rock, rock   ☷   ⓘ"
Young Thug,"rap, melodic rap, trap, atl hip hop, atl trap, southern hip hop, pop rap, gangster rap, hip hop   ☷   ⓘ"
MC JottaPê,"funk carioca, arrochadeira, funk paulista   ☷   ⓘ"
Haftbefehl,german hip hop   ☷   ⓘ
 Dímelo Flow,"urbano latino, reggaeton, reggaeton flow   ☷   ⓘ"
 dazy,"Sorry, that one doesn't seem to be on any of these maps yet."
 Curren$y,"rap, new orleans rap, southern hip hop, dirty south rap, hip hop, underground hip hop, gangster rap, alternative hip hop, pop rap   ☷   ⓘ"
 Dakota,"Related artists in: progressive house, progressive trance, trance, uplifting trance, dutch trance, dance pop, edm, electro house, pop, pop dance   ☷   ⓘ"
Milky Chance,german pop   ☷   ⓘ
 Jungleboi,"Related artists in: bass trap, pop edm, traprun, alt z, modern alternative rock   ☷   ⓘ"
 WanMor,"Sorry, that one doesn't seem to be on any of these maps yet."
 Zion,"reggaeton, latin hip hop, urbano latino, reggaeton flow   ☷   ⓘ"
 MC Lan,"funk carioca, funk mtg   ☷   ⓘ"
 Christopher von Uckermann,mexican pop   ☷   ⓘ
 Frauenarzt,german hip hop   ☷   ⓘ
Noriel,"trap latino, urbano latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
 YBN Nahmir,"viral rap, alabama rap, vapor trap, trap, rap, underground hip hop   ☷   ⓘ"
 Silk Sonic,neo soul   ☷   ⓘ
 Maluma,"reggaeton colombiano, reggaeton, urbano latino   ☷   ⓘ"
 Giveon,"pop, r&b   ☷   ⓘ"
Ufo361,"german cloud rap, german hip hop   ☷   ⓘ"
ZAYN,"pop, uk pop, post-teen pop, dance pop   ☷   ⓘ"
Cordae,"rap, dmv rap, trap, hip hop, underground hip hop   ☷   ⓘ"
DVBBS,"pop dance, edm, canadian electronic, electro house, slap house, tropical house, progressive electro house, pop edm, dance pop, pop   ☷   ⓘ"
 SAMY,"Related artists in: german hip hop, german underground rap, deep german hip hop, german drill   ☷   ⓘ"
 Chief Keef,"chicago bop, rap, chicago drill, drill, chicago rap, trap, southern hip hop, hip hop, underground hip hop   ☷   ⓘ"
Black Eyed Peas,"dance pop, pop rap, pop   ☷   ⓘ"
 Zack De La Rocha,"industrial hip hop, political hip hop   ☷   ⓘ"
 Bon Iver,"eau claire indie, melancholia, indie folk   ☷   ⓘ"
 Ken Darby Singers,"Related artists in: vintage broadway, vintage hollywood   ☷   ⓘ"
 Dan Reynolds,"Related artists in: modern alternative rock, modern rock, pop rock, indie poptimism, bossbeat, rock, rebel blues, indiecoustica, pop   ☷   ⓘ"
 Ella Henderson,"uk pop, talent show, pop, dance pop, tropical house, pop dance, post-teen pop   ☷   ⓘ"
JP Saxe,"pop, canadian contemporary r&b, alt z, neo mellow   ☷   ⓘ"
The Game,"rap, hip hop, gangster rap, pop rap, southern hip hop   ☷   ⓘ"
Emma Stone,hollywood   ☷   ⓘ
 Chuck D,"conscious hip hop, old school hip hop, east coast hip hop   ☷   ⓘ"
 Danny Ocean,"pop venezolano, reggaeton, urbano latino   ☷   ⓘ"
 El Alfa,"dembow, rap dominicano, urbano latino, reggaeton   ☷   ⓘ"
Zedd,"pop, dance pop, edm, pop dance, complextro, german techno, tropical house, post-teen pop, pop rap, electropop   ☷   ⓘ"
Kylie Minogue,"dance pop, europop, australian dance, electropop, australian pop, eurodance, pop, new wave pop   ☷   ⓘ"
Tears For Fears,"new romantic, new wave, permanent wave, sophisti-pop, synthpop, new wave pop   ☷   ⓘ"
Fireboy DML,afro dancehall   ☷   ⓘ
 Problem,"west coast trap, hyphy, cali rap, trap, southern hip hop, pop rap, rap   ☷   ⓘ"
Majestic,"uk dance, house, pop dance, tropical house   ☷   ⓘ"
Nicky Youre,pop   ☷   ⓘ
 MØ,"electropop, pop, dance pop, tropical house, danish pop, edm   ☷   ⓘ"
Matheus & Kauan,"arrocha, pop nacional, sertanejo universitario, sertanejo pop   ☷   ⓘ"
 Tanishk Bagchi,"desi pop, modern bollywood   ☷   ⓘ"
 Kelly Ruíz,guaracha   ☷   ⓘ
Marracash,"rap napoletano, italian hip hop, italian underground hip hop   ☷   ⓘ"
 Pablo Alborán,"latin arena pop, latin pop, spanish pop   ☷   ⓘ"
Migos,"rap, atl hip hop, trap, hip hop, pop rap   ☷   ⓘ"
Vedo,"pop r&b, r&b, urban contemporary, pop rap   ☷   ⓘ"
 A Boogie Wit da Hoodie,"melodic rap, rap, trap   ☷   ⓘ"
 Robin Schulz,"tropical house, german dance, deep euro house, pop dance, edm, deep house, dance pop, pop, pop rap   ☷   ⓘ"
Ariana Grande,"pop, dance pop   ☷   ⓘ"
 U2,"permanent wave, irish rock, rock   ☷   ⓘ"
 KEY!,"underground hip hop, vapor trap   ☷   ⓘ"
Labrinth,"pop, indie poptimism   ☷   ⓘ"
Matthew Wilder,new wave pop   ☷   ⓘ
Coez,"rome indie, italian pop, rap napoletano   ☷   ⓘ"
Kevin Gates,"baton rouge rap, trap, southern hip hop, pop rap, rap   ☷   ⓘ"
Gemitaiz,italian hip hop   ☷   ⓘ
MC Tairon,"funk carioca, funk mtg   ☷   ⓘ"
HRVY,"pop, post-teen pop, tropical house, dance pop, pop dance   ☷   ⓘ"
 Jul,"Sorry, that one doesn't seem to be on any of these maps yet."
 Nego do Borel,"funk pop, funk carioca, funk das antigas, funk ostentacao   ☷   ⓘ"
 Mr. Naisgai,"Sorry, that one doesn't seem to be on any of these maps yet."
Dove Cameron,"post-teen pop, pop   ☷   ⓘ"
Brytiago,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
 Sandro Cavazza,"swedish pop, tropical house   ☷   ⓘ"
 Stevie Nicks,"heartland rock, mellow gold, album rock, rock   ☷   ⓘ"
