autor,estilo
 Prince Royce,"bachata, latin hip hop, latin pop   ☷   ⓘ"
Shiva,"trap italiana, italian hip hop   ☷   ⓘ"
Kenny Man,panamanian pop   ☷   ⓘ
 Steve Perry,"yacht rock, album rock, soft rock, mellow gold   ☷   ⓘ"
 Landon Cube,"vapor trap, emo rap, sad rap   ☷   ⓘ"
INTERWORLD,Related artists in: drift phonk   ☷   ⓘ
 Royce Da ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Anvita Dutt,Related artists in: filmi   ☷   ⓘ
 Summer Cem,german hip hop   ☷   ⓘ
Ozzy Osbourne,"birmingham metal, rock, hard rock, metal, album rock   ☷   ⓘ"
Jhen,"Sorry, that one doesn't seem to be on any of these maps yet."
lia Mendon,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mac Miller,"pittsburgh rap, rap, hip hop   ☷   ⓘ"
 Vaqueiro,"Sorry, that one doesn't seem to be on any of these maps yet."
Marie,"Sorry, that one doesn't seem to be on any of these maps yet."
 Justin Jesso,"Related artists in: uk pop, alt z, pop   ☷   ⓘ"
OMI,dance pop   ☷   ⓘ
 Juliander,swedish pop   ☷   ⓘ
 Death Cab for Cutie,"washington indie, indie rock, modern rock, indie pop   ☷   ⓘ"
MC Tairon,"funk carioca, funk mtg   ☷   ⓘ"
 Henning May,"Related artists in: german hip hop, german indie, german pop, german alternative rap, german indie rock, german rock   ☷   ⓘ"
Jojo Maronttinni,funk carioca   ☷   ⓘ
 Natan ,russian pop   ☷   ⓘ
 Cole,"Sorry, that one doesn't seem to be on any of these maps yet."
Yandel,"reggaeton, urbano latino, latin hip hop, trap latino, reggaeton flow   ☷   ⓘ"
 Chance the Rapper,"rap, conscious hip hop, chicago rap, hip hop, pop rap   ☷   ⓘ"
 Sehabe,turkish hip hop   ☷   ⓘ
 MC Ryan SP,"funk paulista, funk carioca   ☷   ⓘ"
Solange,"afrofuturism, alternative r&b, neo soul, hip pop, r&b, urban contemporary, escape room, indie soul, dance pop, pop   ☷   ⓘ"
Marvin Gaye,"motown, soul, northern soul, quiet storm, classic soul, funk, indie r&b   ☷   ⓘ"
Rae Sremmurd,"rap, mississippi hip hop, melodic rap, trap, pop rap, southern hip hop, hip hop   ☷   ⓘ"
Mark Ronson,"dance pop, pop   ☷   ⓘ"
 Freshlyground,"south african pop dance, south african pop, afropop, afro soul   ☷   ⓘ"
Tove Styrke,"swedish electropop, swedish pop, electropop, swedish synthpop, dance pop   ☷   ⓘ"
Freddie Dredd,"phonk, aesthetic rap   ☷   ⓘ"
ZAYN,"pop, uk pop, post-teen pop, dance pop   ☷   ⓘ"
Dua Lipa,"pop, uk pop, dance pop   ☷   ⓘ"
